"insCode","cSecVal","lSecVal","cSoSecVal","lSoSecVal","cValMne","lVal18","cSocCSAC","lSoc30","yMarNSC","yVal","lVal30","lVal18AFC","cIsin","zTitad","baseVol","instrumentID","cgrValCot","cComVal","lastDate","sourceID","flowTitle","cgrValCotTitle"
"26805086797073180","69","اوراق تامين مالي","6945","اوراق مرابحه دولتي با ضمانت دولت","G77Q1","SOV.GMR77.SP211103","SG77","مرابحه عام دولت77-ش.خاص0008","NO","706","مرابحه عام دولت77-ش.خ000812","اراد77","IRB4SG770089","0.0","0","IRB4SG770081","17","4","0","0","","-'"
"26824673819862694","34","خودرو و ساخت قطعات","3410","توليد وسايل نقليه موتوري","BHMN1","Bahman Group","BHMN","گروه‌بهمن‌","NO","300","گروه‌بهمن‌","خبهمن","IRO1BHMN0009","0.0","0","IRO1BHMN0001","N1","1","0","0","","بازار اول (تابلوی اصلی) بورس"
"26881786652328215","27","فلزات اساسي","2710","توليد آهن و فولاد پايه","Z0561","Zarand Iranian ST","Z056","فولاد زرند","NO","303","فولاد زرند","زرند","IRO3Z0560004","0.0","0","IRO3Z0560001","Z1","5","0","0","","بازار سوم فرابورس"
"26882843763780650","66","بيمه وصندوق بازنشستگي به جزتامين اجتماعي","6601","بيمه زندگي","BLIP1","Baran Life INS","BLIP","بيمه زندگي باران","NO","309","بيمه زندگي باران","باران","IRO7BLIP0001","0.0","0","IRO7BLIP0001","P1","7","0","0","","بازار پایه زرد فرابورس"
"26890571579123884","69","اوراق تامين مالي","6910","صكوك اجاره","MOKQ1","Telecom. ijara","MOKZ","اوراق اجاره شركت مخابرات ايران","NO","306","اوراق اجاره شركت مخابرات ايران","صخابر","IRB3MOKZ9845","0.0","0","IRB3MOKZ9841","17","4","0","0","","-'"
"26912471338175697","17","منسوجات","1711","آماده سازي و ريسندگي نخ، پارچه بافي","TTIX1","S.S.T.Team-R","TTIM","توليدي‌ تيم‌","NO","400","ح . توليدي‌ تيم‌","نتيمح","IRR1TTIM0104","0.0","0","IRR1TTIM0101","N4","4","0","0","","بازار چهارم بورس"
"26927142986179586","69","اوراق تامين مالي","6947","اوراق منفعت خصوصي","SA5Q1","ArvandLT.MNF220202","SA05","منفعت صبا اروند لوتوس 14001113","NO","306","منفعت صبا اروند لوتوس 14001113","اروند05","IRB3SA0500B6","0.0","0","IRB3SA0500B1","17","4","0","0","","-'"
"26972528518663385","22","انتشار، چاپ و تکثير","2221","چاپ","OFSX1","Offset-R","OFST","افست‌","NO","400","ح . افست‌","چافستح","IRR1OFST0106","0.0","0","IRR1OFST0101","N1","3","0","0","","بازار اول (تابلوی فرعی) بورس"
"26997316501080743","53","سيمان، آهك و گچ","5394","توليد سيمان، آهك و گچ","SSHR1","Shargh Cement","SSHR","سيمان‌ شرق‌","NO","300","سيمان‌ شرق‌","سشرق","IRO1SSHR0000","0.0","0","IRO1SSHR0001","N1","1","0","0","","بازار اول (تابلوی اصلی) بورس"
"27000326841257664","53","سيمان، آهك و گچ","5394","توليد سيمان، آهك و گچ","SDST1","Dashtestan Ce.","SDST","صنايع سيمان دشتستان","NO","300","صنايع سيمان دشتستان","سدشت","IRO1SDST0002","0.0","0","IRO1SDST0001","N2","5","0","0","","بازار دوم بورس"
