"insCode","dEven","daily"
"14061767679814842","20230704","20230917"
"14073782708315535","20230917","20230917"
"14079693677610396","20230918","20230917"
"14098803458396918","20180721","20230917"
"14117895006628578","20230607","20230917"
"14153483684603257","20221129","20230917"
"14230681955555738","20230227","20230917"
"14231831499205396","20230918","20230917"
"14272187704164673","20180721","20230917"
"14282483640595682","20081126","20230917"
"14306042760194272","20220518","20230917"
"14312030900097668","20230917","20230917"
"14316127499745589","20230911","20230917"
"14318003495049441","20180721","20230917"
"14364842601603807","20210530","20230917"
"14365942643310121","20150606","20230917"
"14398278072324784","20230917","20230917"
"14419337127600051","20120118","20230917"
"14427168056799610","20230917","20230917"
"14433522880497810","20230724","20230917"
"14522053794333421","20111122","20230917"
"14617104402836487","20230918","20230917"
"14648214561235888","20220108","20230917"
"14651627750314021","20171212","20230917"
"14659267774417019","20211206","20230917"
"14663058283318471","20220418","20230917"
"14733297998516697","20140809","20230917"
"14744445176220774","20230917","20230917"
"14798249266057986","20221212","20230917"
"14800142337291217","20230917","20230917"
"14819787164502995","20221225","20230917"
"14825024264732797","20180721","20230917"
"14838123371193072","20160210","20230917"
"14865390259501860","20180904","20230917"
"14880127004206268","20230917","20230917"
"14900251521017020","20091103","20230917"
"14916489896692147","20230917","20230917"
"14925348052932291","20220906","20230917"
"14957056743925737","20230918","20230917"
"14983273215576895","20221129","20230917"
"14985138705106402","20230917","20230917"
"15039949673085566","20230917","20230917"
"15051250632990893","20230917","20230917"
"15082904528024302","20220108","20230917"
"15087647672146929","20230215","20230917"
"15090491830692116","20230515","20230917"
"15092520257063028","20220607","20230917"
"15124889255100138","20230515","20230917"
"15135845208809633","20180721","20230917"
"15221664222769132","20210630","20230917"
"15224214406952218","20220418","20230917"
"15231094335720879","20230124","20230917"
"15259343650667588","20230918","20230917"
"15282093177363578","20230917","20230917"
"15335472282235996","20140721","20230917"
"15374483986949695","20230917","20230917"
"15382536693247714","20210914","20230917"
"15386033251001077","20190908","20230917"
"15406006540387078","20200929","20230917"
"15424938732223941","20221212","20230917"
"15444340905535569","20081126","20230917"
"15451317146134956","20230227","20230917"
"15467183288337240","20230918","20230917"
"15472396110662150","20230917","20230917"
"15494954332657697","20230227","20230917"
"15508900928481581","20171212","20230917"
"15521712617204216","20230917","20230917"
"15566653888879915","20130115","20230917"
"15581863918201593","20211009","20230917"
"15582754946564355","20180721","20230917"
"15584753428585966","20140721","20230917"
"15673952022915263","20221102","20230917"
"15690804957883824","20180721","20230917"
"15726796686853780","20230917","20230917"
"15731047379849033","20230111","20230917"
"15783832138614569","20221212","20230917"
"15826229869421585","20201003","20230917"
"15868116507376197","20220521","20230917"
"15890655003477913","20221212","20230917"
"15906563225787022","20230723","20230917"
"15917865009187760","20230917","20230917"
"15930821245168534","20230917","20230917"
"15935316847394468","20081126","20230917"
"15949743338644220","20230917","20230917"
"15958368363568043","20081126","20230917"
"15962072736526551","20230917","20230917"
"15972444282437960","20171213","20230917"
"16040900750729921","20230702","20230917"
"16046474774547470","20230607","20230917"
"16056283141617755","20230227","20230917"
"16139613752126929","20140406","20230917"
"16141651724723614","20170405","20230917"
"16164451491521441","20230717","20230917"
"16236181211342354","20221212","20230917"
"16241626483941113","20220525","20230917"
"16248560650746385","20180808","20230917"
"16271659134521666","20230917","20230917"
"16276299842018324","20081126","20230917"
"16303324355390262","20221212","20230917"
"16307993585897047","20161221","20230917"
"16313264845918995","20170315","20230917"
"16315910303613772","20230408","20230917"
"16330743198286823","20230408","20230917"
"16368754219878684","20230607","20230917"
"16369313804633525","20230918","20230917"
"16370154440238855","20230917","20230917"
"16374922288786629","20230607","20230917"
"16385144332417446","20210825","20230917"
"16405556680571453","20230917","20230917"
"16406868012951979","20230717","20230917"
"16410724132711490","20230917","20230917"
"16422980660132735","20230917","20230917"
"16471519272060905","20171213","20230917"
"16553062355259729","20230917","20230917"
"16566273757667380","20171213","20230917"
"16567465928886309","20230917","20230917"
"16578517055478811","20230917","20230917"
"16582728244731287","20170304","20230917"
"16600572108732428","20230917","20230917"
"16630588761222078","20230918","20230917"
"16663779781503749","20110410","20230917"
"16673205196919832","20230917","20230917"
"16693610252404739","20230917","20230917"
"16725382720692568","20180721","20230917"
"16762873668858938","20081126","20230917"
"16766811482283088","20081126","20230917"
"16777570760181431","20230917","20230917"
"16843404477481740","20230917","20230917"
"16925150043473874","20170304","20230917"
"16959429956899455","20230917","20230917"
"16984771612846489","20230717","20230917"
"17001700431164407","20130701","20230917"
"17043857246932770","20180721","20230917"
